ranking_category_id,ranking_category,dcat_name,discipline_kind,ranking_name,ranking_id,ranking_from,ranking_to,continental_council_ranking_url,athlete_id,athlete_name,firstname,lastname,federation_id,country,athlete_rank,athlete_score,photo_url,event_id,event_discipline_id,event_discipline_kind,event_rank,event_name,event_start_date,event_end_date,field_factor,gained_pts,original_pts,included
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,11390,YOSHIDA Satone,Satone,YOSHIDA,25,JPN,3,4256.0,https://d1n1qj9geboqnb.cloudfront.net/ifsc/public/qag5fz79xabmf39xnngthwqlie0l,1417,1731,lead,2,IFSC World Championships Seoul 2025,2025-09-20T15:00:00.000Z,2025-09-28T14:59:00.000Z,2.0,1610.0,1610.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,11390,YOSHIDA Satone,Satone,YOSHIDA,25,JPN,3,4256.0,https://d1n1qj9geboqnb.cloudfront.net/ifsc/public/qag5fz79xabmf39xnngthwqlie0l,1454,1771,lead,3,IFSC World Cup Comunidad de Madrid 2025,2025-07-17T22:00:00.000Z,2025-07-19T21:59:00.000Z,1.0,690.0,690.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,11390,YOSHIDA Satone,Satone,YOSHIDA,25,JPN,3,4256.0,https://d1n1qj9geboqnb.cloudfront.net/ifsc/public/qag5fz79xabmf39xnngthwqlie0l,1414,1727,lead,4,IFSC World Cup Chamonix 2025,2025-07-10T22:00:00.000Z,2025-07-13T21:59:00.000Z,1.0,610.0,610.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,11390,YOSHIDA Satone,Satone,YOSHIDA,25,JPN,3,4256.0,https://d1n1qj9geboqnb.cloudfront.net/ifsc/public/qag5fz79xabmf39xnngthwqlie0l,1412,1725,lead,4,IFSC World Cup Innsbruck 2025,2025-06-24T22:00:00.000Z,2025-06-29T21:59:00.000Z,1.0,610.0,610.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,11390,YOSHIDA Satone,Satone,YOSHIDA,25,JPN,3,4256.0,https://d1n1qj9geboqnb.cloudfront.net/ifsc/public/qag5fz79xabmf39xnngthwqlie0l,1416,1730,lead,4,IFSC World Cup Koper 2025,2025-09-04T22:00:00.000Z,2025-09-06T21:59:00.000Z,1.0,610.0,610.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,11390,YOSHIDA Satone,Satone,YOSHIDA,25,JPN,3,4256.0,https://d1n1qj9geboqnb.cloudfront.net/ifsc/public/qag5fz79xabmf39xnngthwqlie0l,1515,1855,lead,5,World Climbing Asia Championship Meishan 2026,2026-04-07T16:00:00.000Z,2026-04-12T15:59:00.000Z,0.275,126,126,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,13040,ANRAKU Sorato,Sorato,ANRAKU,25,JPN,4,3838.0,https://d1n1qj9geboqnb.cloudfront.net/ifsc/public/bk9ifljhby050h6lc4uccx4kzhnf,1416,1730,lead,1,IFSC World Cup Koper 2025,2025-09-04T22:00:00.000Z,2025-09-06T21:59:00.000Z,1.0,1000.0,1000.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,13040,ANRAKU Sorato,Sorato,ANRAKU,25,JPN,4,3838.0,https://d1n1qj9geboqnb.cloudfront.net/ifsc/public/bk9ifljhby050h6lc4uccx4kzhnf,1414,1727,lead,1,IFSC World Cup Chamonix 2025,2025-07-10T22:00:00.000Z,2025-07-13T21:59:00.000Z,1.0,1000.0,1000.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,13040,ANRAKU Sorato,Sorato,ANRAKU,25,JPN,4,3838.0,https://d1n1qj9geboqnb.cloudfront.net/ifsc/public/bk9ifljhby050h6lc4uccx4kzhnf,1417,1731,lead,10,IFSC World Championships Seoul 2025,2025-09-20T15:00:00.000Z,2025-09-28T14:59:00.000Z,2.0,700.0,700.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,13040,ANRAKU Sorato,Sorato,ANRAKU,25,JPN,4,3838.0,https://d1n1qj9geboqnb.cloudfront.net/ifsc/public/bk9ifljhby050h6lc4uccx4kzhnf,1454,1771,lead,5,IFSC World Cup Comunidad de Madrid 2025,2025-07-17T22:00:00.000Z,2025-07-19T21:59:00.000Z,1.0,545.0,545.0,True
